#OTU	ID	taxonomy
101	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;animicus
102	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;anxifer
103	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;deleyi
104	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;denitrificans
105	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;dolens
106	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;insolitus
107	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;insuavis
108	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;kerstersii
109	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;marplatensis
110	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;mucicolens
111	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;pestifer
112	1.0	NA;NA;NA;NA;NA;NA
113	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;pulmonis
114	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;ruhlandii
115	1.0	NA;NA;NA;NA;NA;NA
116	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;spanius
117	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;veterisilvae
118	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans
119	1.0	Bacillota;Clostridia;Peptostreptococcales;Acidaminobacteraceae;Acidaminobacter;hydrogenoformans
120	1.0	NA;NA;NA;NA;NA;NA
121	1.0	NA;NA;NA;NA;NA;NA
122	1.0	NA;NA;NA;NA;NA;NA
123	1.0	Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;ambivalens
124	1.0	Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;brierleyi
125	1.0	Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;infernus
126	1.0	NA;NA;NA;NA;NA;NA
127	1.0	Pseudomonadota;Gammaproteobacteria;NA;NA;Acidibacter;ferrireducens
128	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidibrevibacterium;fodinaquatile
129	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidicaldus;organivorans
130	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;acidiphila
131	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;acidisoli
132	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;borealis
133	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;dinghuensis
134	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;ferrireducens
135	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;ligni
136	1.0	NA;NA;NA;NA;NA;NA
137	1.0	NA;NA;NA;NA;NA;NA
138	1.0	Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Acidiferrobacter;thiooxydans
139	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter;prosperus
140	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter;ferrooxydans
141	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter;prosperus
142	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter;prosperus
143	1.0	Thermoproteota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;aceticus
144	1.0	NA;NA;NA;NA;NA;NA
145	1.0	Bacteroidota;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Acidiluteibacter;ferrifornacis
146	1.0	NA;NA;NA;NA;NA;NA
147	1.0	NA;NA;NA;NA;NA;NA
148	1.0	Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Acidimangrovimonas;sediminis
149	1.0	NA;NA;NA;NA;NA;NA
150	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;acidophilum
151	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;angustum
152	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;cryptum
153	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;iwatense
154	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;multivorum
155	1.0	NA;NA;NA;NA;NA;NA
156	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;rubrum
157	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidipila;rosea
158	1.0	Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma;aeolicum
159	1.0	NA;NA;NA;NA;NA;NA
160	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;acidipropionici
161	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;damnosum
162	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;jensenii
