"tip_label","tip_node","parent_node","child_node"
"2561511095",11,3842,3843
"2561511095",11,3841,3842
"2561511095",11,3840,3841
"2561511095",11,3839,3840
"2561511095",11,3838,3839
"2561511095",11,3837,3838
"2561511095",11,3836,3837
"2561511095",11,3835,3836
"2561511095",11,3834,3835
"2561511095",11,3833,3834
"2561511095",11,3832,3833
"2561511095",11,3831,3832
"2561511095",11,3830,3831
"2561511095",11,3829,3830
"2561511095",11,3828,3829
"2561511095",11,3827,3828
"2561511095",11,3826,3827
"2561511095",11,3825,3826
"2561511095",11,3824,3825
"2561511095",11,3823,3824
"2576861462",12,3866,12
"2576861462",12,3865,3866
"2576861462",12,3864,3865
"2576861462",12,3863,3864
"2576861462",12,3862,3863
"2576861462",12,3861,3862
"2576861462",12,3852,3861
"2576861462",12,3851,3852
"2576861462",12,3850,3851
"2576861462",12,3849,3850
"2576861462",12,3848,3849
"2576861462",12,3847,3848
"2576861462",12,3846,3847
"2576861462",12,3845,3846
"2576861462",12,3844,3845
"2576861462",12,3843,3844
"2576861462",12,3842,3843
"2576861462",12,3841,3842
"2576861462",12,3840,3841
"2576861462",12,3839,3840
"2576861462",12,3838,3839
"2576861462",12,3837,3838
"2576861462",12,3836,3837
"2576861462",12,3835,3836
"2576861462",12,3834,3835
"2576861462",12,3833,3834
"2576861462",12,3832,3833
"2576861462",12,3831,3832
"2576861462",12,3830,3831
"2576861462",12,3829,3830
"2576861462",12,3828,3829
"2576861462",12,3827,3828
"2576861462",12,3826,3827
"2576861462",12,3825,3826
"2576861462",12,3824,3825
"2576861462",12,3823,3824
"2565956532",13,3865,13
"2565956532",13,3864,3865
"2565956532",13,3863,3864
"2565956532",13,3862,3863
"2565956532",13,3861,3862
"2565956532",13,3852,3861
"2565956532",13,3851,3852
"2565956532",13,3850,3851
"2565956532",13,3849,3850
"2565956532",13,3848,3849
"2565956532",13,3847,3848
"2565956532",13,3846,3847
"2565956532",13,3845,3846
"2565956532",13,3844,3845
"2565956532",13,3843,3844
"2565956532",13,3842,3843
"2565956532",13,3841,3842
"2565956532",13,3840,3841
"2565956532",13,3839,3840
"2565956532",13,3838,3839
"2565956532",13,3837,3838
